"cond";"prob";"ind";"l_rate";"temperature";"correct";"perseverations";"flexibility"
"0.50.050.0125";0.5;1;0.05;0.0125;60;0;60
"0.50.050.0125";0.5;2;0.05;0.0125;60;0;60
"0.50.050.0125";0.5;3;0.05;0.0125;60;0;60
"0.50.050.0125";0.5;4;0.05;0.0125;60;0;60
"0.50.050.0125";0.5;5;0.05;0.0125;60;0;60
"0.50.050.0125";0.5;6;0.05;0.0125;56;3;57
"0.50.050.0125";0.5;7;0.05;0.0125;56;4;56
"0.50.050.0125";0.5;8;0.05;0.0125;60;0;60
"0.50.050.0125";0.5;9;0.05;0.0125;60;0;60
"0.50.050.0125";0.5;10;0.05;0.0125;60;0;60
"0.50.050.0125";0.5;11;0.05;0.0125;60;0;60
"0.50.050.0125";0.5;12;0.05;0.0125;60;0;60
"0.50.050.0125";0.5;13;0.05;0.0125;60;0;60
"0.50.050.0125";0.5;14;0.05;0.0125;55;5;55
"0.50.050.0125";0.5;15;0.05;0.0125;60;0;60
"0.50.050.0125";0.5;16;0.05;0.0125;59;0;60
"0.50.050.0125";0.5;17;0.05;0.0125;60;0;60
"0.50.050.0125";0.5;18;0.05;0.0125;60;0;60
"0.50.050.0125";0.5;19;0.05;0.0125;59;1;59
"0.50.050.0125";0.5;20;0.05;0.0125;58;2;58
"0.50.050.0125";0.5;21;0.05;0.0125;60;0;60
"0.50.050.0125";0.5;22;0.05;0.0125;60;0;60
"0.50.050.0125";0.5;23;0.05;0.0125;57;2;58
"0.50.050.0125";0.5;24;0.05;0.0125;57;2;58
"0.50.050.0125";0.5;25;0.05;0.0125;55;3;57
"0.50.050.0125";0.5;26;0.05;0.0125;60;0;60
"0.50.050.0125";0.5;27;0.05;0.0125;60;0;60
"0.50.050.0125";0.5;28;0.05;0.0125;60;0;60
"0.50.050.0125";0.5;29;0.05;0.0125;60;0;60
"0.50.050.0125";0.5;30;0.05;0.0125;60;0;60
"0.50.050.0125";0.5;31;0.05;0.0125;58;2;58
